检验类别,品牌/类型,检验项目,英文名称,标准值,单位,类型说明,下限值,上限值,误差限,排序
香精入厂检测记录,艾地盟香精（平湖）有限公司,外观及理化检测信息-密度,,区间:0.9150~0.9350,g/cm²,区间,0.9150,0.9350,,4
香精入厂检测记录,艾地盟香精（平湖）有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,艾地盟香精（平湖）有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,艾地盟香精（平湖）有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,艾地盟香精（平湖）有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,北京香山香精香料有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,北京香山香精香料有限公司,外观及理化检测信息-Brix,,区间:41.10~42.90,%,区间,41.10,42.90,,3
香精入厂检测记录,北京香山香精香料有限公司,外观及理化检测信息-密度,,区间:0.9158~0.9358,g/cm²,区间,0.9158,0.9358,,4
香精入厂检测记录,北京香山香精香料有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,北京香山香精香料有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,北京香山香精香料有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,北京香山香精香料有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,华彬力美科技（湖北）有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,华彬力美科技（湖北）有限公司,外观及理化检测信息-Brix,,区间:41.70~43.70,%,区间,41.70,43.70,,3
香精入厂检测记录,华彬力美科技（湖北）有限公司,外观及理化检测信息-密度,,区间:0.9180~0.9380,g/cm²,区间,0.9180,0.9380,,4
香精入厂检测记录,华彬力美科技（湖北）有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,华彬力美科技（湖北）有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,华彬力美科技（湖北）有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,华彬力美科技（湖北）有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,北京陆远国际供应链管理有限公司,外观及理化检测信息-色度,,-,-,,,,,2
香精入厂检测记录,北京陆远国际供应链管理有限公司,外观及理化检测信息-Brix,,-,%,,,,,3
香精入厂检测记录,北京陆远国际供应链管理有限公司,外观及理化检测信息-密度,,-,g/cm²,,,,,4
香精入厂检测记录,北京陆远国际供应链管理有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,北京陆远国际供应链管理有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
香精入厂检测记录,北京陆远国际供应链管理有限公司,感官及重金属检测信息-铅,,-,g/cm²,,,,,7
香精入厂检测记录,北京陆远国际供应链管理有限公司,感官及重金属检测信息-砷,,-,g/cm²,,,,,8
香精入厂检测记录,郑州瑞斯福食品科技有限公司,外观及理化检测信息-色度,,≥50,-,最小值,50,,,2
香精入厂检测记录,郑州瑞斯福食品科技有限公司,外观及理化检测信息-Brix,,区间:41.10~42.90,%,区间,41.10,42.90,,3
香精入厂检测记录,郑州瑞斯福食品科技有限公司,外观及理化检测信息-密度,,区间:0.9158~0.9358,g/cm²,区间,0.9158,0.9358,,4
香精入厂检测记录,郑州瑞斯福食品科技有限公司,感官及重金属检测信息-铅,,≤10,mg/kg,最大值,10,,,7
香精入厂检测记录,郑州瑞斯福食品科技有限公司,感官及重金属检测信息-砷,,≤3,mg/kg,最大值,3,,,8
香精入厂检测记录,郑州瑞斯福食品科技有限公司,感官及重金属检测信息-香气,,-,g/cm²,,,,,5
香精入厂检测记录,郑州瑞斯福食品科技有限公司,感官及重金属检测信息-口感,,-,g/cm²,,,,,6
一级糖检验原始记录,红牛,可溶性固形物,,-,-,,,,,1
一级糖检验原始记录,红牛,pH,,-,-,,,,,2
一级糖检验原始记录,红牛,罐内压,,-,-,,,,,3
一级糖检验原始记录,红牛,液位,,-,-,,,,,4
