物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
原材料,20002183,,纸箱/战马/罐装/广东扫码1元乐享2025/新包装-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002182,,纸箱/战马/罐装/新包装,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002172,,纸箱/战马/罐装/线上1元乐享2025/新包装-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002134,,纸箱/战马/罐装/线上1元乐享2025/二段-不含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002133,,纸箱/战马/罐装/线上1元乐享2025/二段-含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002131,,纸箱/战马/罐装/1元乐享2025/二段-不含箱内码,1200张/托,包材,张,,原材料,730,30,0,已启用,,,,否,否
原材料,20002130,,纸箱/战马/罐装/1元乐享2025/二段-含箱内码,1200张/托,包材,张,,,730,30,0,已启用,,,,否,否
原材料,20002195,,顶盖/战马/广东扫码红包2025/新包装,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002181,,顶盖/战马/广东扫码1元乐享2025/新包装,177480个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002179,,顶盖/战马/普通型/新包装,177480个/托,包材,个,,,730,30,0,已启用,,,,否,否
原材料,20002178,,空罐/战马/310ML/广东扫码1元乐享2025/新包装/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002177,,空罐/战马/普通型/310ML/新包装/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002169,,空罐/战马/310ML/线上1元乐享2025/新包装/无顶盖,7590个/托,包材,个,,原材料,730,30,0,已启用,,,,否,否
原材料,20002126,,空罐/战马/310ML/线上1元乐享2025/二段/无顶盖,7590个/托,包材,个,,,730,30,0,已启用,,,,否,否
成品,10001163,,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,150箱/托,成品,罐,红牛,FERTE成品,540,90,0,已启用,,,,否,否
综合物资,5400000140,,氯化钠,,化验耗材,瓶,,ZQT其他,,,0,已启用,,,23.0,否,否
综合物资,5500000001,,电池水/20升一桶,,修理,升,,其他,,,0,已启用,,,1.72,否,否
综合物资,30001135,,其他塑料袋/16*21cm,,辅料,个,,其他,,,0,已启用,,,,否,否
综合物资,30001134,,其他塑料袋/30*48cm,,辅料,个,,其他,,,0,已启用,,,,否,否
综合物资,30001133,,其他塑料袋/50*90cm,,辅料,个,,其他,,,0,已启用,,,1.0,否,否
综合物资,5600000070,,碎纸机/GA666,,资产,台,得力,其他,,,0,已启用,,,,否,否
