序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
381,食材,80000269,青花椒面,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
382,食材,80000268,红花椒籽,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
383,食材,80000267,青花椒籽,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
384,食材,80000266,干辣椒节,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
385,食材,80000265,五香辣椒面,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
386,食材,80000264,糊辣椒面,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
387,食材,80000263,生辣椒面,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
388,食材,80000262,干豆豉,2.5kg/包,调料,包,美之造,,360,,0,已启用,,,6.00,否,否
389,食材,80000261,白芝麻,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
390,食材,80000260,红泡椒,5kg,干货调料类,包,富盛,,360,,0,已启用,,,32.00,否,否
391,食材,80000259,糟辣椒,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
392,食材,80000258,浓香花椒油,5L,调料,瓶,天曦,,540,,0,已启用,,,140.00,否,否
393,食材,6902265611912,烹饪黄豆酱,6kg*1,调料,桶,海天,,360,,0,已启用,,,,否,否
394,食材,6902265611318,海天蚝油,6kg,调料,桶,海天,,360,,0,已启用,,,85.00,否,否
395,食材,80000255,风车牌生粉,斤,干货调料类,KG,风车牌,,,,2,已启用,,,8.00,否,否
396,食材,80000254,菜籽油,10升,调料,桶,香满园,,360,,0,已启用,,,130.00,否,否
397,食材,80000253,五得利低筋面粉,0.001,干货调料类,KG,五得利,,180,,2,已启用,,,4.00,否,否
398,食材,80000252,五得利高筋面粉,25kg,干货调料类,斤,五得利,,180,,2,已启用,,,2.00,否,否
399,食材,80000249,黄豆,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
400,食材,80000248,砂仁,0.001,干货药材香料,KG,,,,,2,已启用,,,0.00,否,否
401,食材,6973360691710,面包糠,0.001,干货调料类,包,待定,,,,0,已启用,,,0.00,否,否
402,食材,80000246,白糖,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
403,食材,6973913273189,木姜子油,1.8升,调料,瓶,香如许,,540,,0,已启用,,,82.00,否,否
404,食材,6974658441154,百草香黄焖鸡酱料（鲜香味）,0.001,调料,桶,百草香,,360,,0,已启用,,,0.00,否,否
405,食材,80000243,后腿蹄髈,0.001,鲜肉类,KG,,,,,2,已停用,0.000,,0.00,否,否
406,食材,80000242,玉米面,0.001,干货调料类,盒,,,,,0,已启用,,,0.00,否,否
407,食材,6971848918823,紫菜,26g,干货调料类,包,豪品滋,,540,,0,已启用,,,4.00,否,否
408,食材,6948195824145,非转基因大豆油,20升/桶,调料,桶,十里画廊,,540,,0,已启用,,,218.00,否,否
409,食材,6972927490018,大米,50斤/包,干货调料类,包,稻花香,,180,,0,已启用,,,153.00,否,否
410,食材,6902487381310,双桥特小晶味精,1千克,调料类,包,双桥,,1080,,0,已启用,,,19.00,否,否
411,食材,6911567886454,双桥鸡精,454g*20包,调料类,包,双桥,,540,,0,已启用,,,10.00,否,否
412,食材,6905475354150,重庆三五火锅底料（鸡汁麻辣型）,150克,调料类,包,三五SANWU,,540,,0,已启用,,,5.00,否,否
413,食材,6917790198951,安琪高活性干酵母500g,500克,干货调料类,包,安琪,,720,,0,已启用,,,30.00,否,否
414,食材,6917790025073,双效泡打粉,500g,干货调料类,包,钻星,,540,,0,已启用,,,10.00,否,否
415,食材,6917790981133,安琪新型复配无铝害油条膨松剂250g国内,250克,调料类,包,安琪,,720,,0,已启用,0.000,,8.00,否,否
416,食材,6917451257164,四眼井陈醋,一包400ml,调料,件,四眼井,,450,,0,已启用,0.000,,63.00,否,否
417,食材,6921971200715,灌汤水饺,1*455克*20袋,冻货类,袋,思念,,360,,0,已启用,2.000,,115.00,否,否
418,食材,6921956637925,番茄沙司,250g,调料类,瓶,亨氏,,6480,,0,已启用,0.000,,6.00,否,否
419,食材,6902265190417,海天老抽,1900L,调料,瓶,海天,,540,,0,已启用,,,15.00,否,否
420,食材,6902265160311,蒸鱼豉油,450mL,调料类,瓶,海天,,720,,0,已启用,,,9.00,否,否
421,食材,6946288301009,劲霸鸡汁 ,520克,调料类,包,劲霸,,,,0,已启用,,,,否,否
422,食材,6974583311072,越泉湖绍兴料酒,5L,调料类,瓶,越泉湖绍兴料酒,,540,,0,已启用,,,32.00,否,否
423,食材,6902265450917,小白菜,0.01,蔬菜类,KG,,,540,,2,已启用,0.000,,0.00,否,否
424,食材,6971251310917,味椒盐调味料,45克,调料类,瓶,绿湖,,720,,0,已启用,,,5.00,否,否
