id,goods_code,goods_name,is_gift,weight,expiry_date,from_date,exp_arr,price,price_expiry_date,price_from_date,price_exp_arr,box_price,box_price_expiry_date,box_price_from_date,box_price_exp_arr
621,10001187,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,0,0.00740,9999-12-31,2026-01-01,"[{'id': 353, 'goods_id': 621, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2026-01-01,"[{'id': 15, 'goods_id': 621, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 12, 'goods_id': 621, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
620,10001186,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,0,0.00740,9999-12-31,2026-01-01,"[{'id': 352, 'goods_id': 620, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2026-01-01,"[{'id': 14, 'goods_id': 620, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 11, 'goods_id': 620, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
619,10001185,红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期,0,0.00740,9999-12-31,2026-01-01,"[{'id': 351, 'goods_id': 619, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",112.80,9999-12-31,2026-01-01,"[{'id': 13, 'goods_id': 619, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 10, 'goods_id': 619, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
618,10001184,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,0,0.00740,9999-12-31,2026-01-01,"[{'id': 350, 'goods_id': 618, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",120.00,9999-12-31,2026-01-01,"[{'id': 12, 'goods_id': 618, 'price': '120.00', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",2.15,9999-12-31,2026-01-01,"[{'id': 9, 'goods_id': 618, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
615,11000359,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,0,,,,[],,,,[],,,,[]
614,11000358,战马/330ML/24/罐装/含气/春日白桃味/广东促销,0,,,,[],,,,[],,,,[]
613,11000357,战马/330ML/24/罐装/含气/夏日浆果味/广东促销,0,,,,[],,,,[],,,,[]
612,11000353,战马/330ML/24/罐装/含气/夏日柠檬味/常规装,0,,,,[],,,,[],,,,[]
611,11000352,战马/330ML/24/罐装/含气/春日白桃味/常规装,0,,,,[],,,,[],,,,[]
610,11000351,战马/330ML/24/罐装/含气/夏日浆果味/常规装,0,,,,[],,,,[],,,,[]
609,11000350,战马/330ML/24/罐装/含气/菠萝西柚味/常规装,0,,,,[],,,,[],,,,[]
608,11000349,战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装,0,,,,[],,,,[],,,,[]
607,11000348,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,0,,,,[],,,,[],,,,[]
606,11000298,战马/180ML/24/罐装/夏黑葡萄味,0,,,,[],,,,[],,,,[]
605,11000334,战马/310ML/24/罐装/2025/广东扫码红包-新包装,0,,,,[],,,,[],,,,[]
604,11000322,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,0,,,,[],,,,[],,,,[]
603,11000321,战马/310ML/24/罐装/新包装,0,,,,[],,,,[],,,,[]
602,10001165,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,0,,,,[],,,,[],,,,[]
601,10001164,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,0,,,,[],,,,[],,,,[]
600,10001163,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,0,,,,[],,,,[],,,,[]
598,11000283,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,0,,,,[],,,,[],,,,[]
597,11000282,战马/400ML/15/不含气/2025/1元乐享/二段,0,,,,[],,,,[],,,,[]
596,11000281,战马/400ML/15/不含气/2025/1元乐享（线上核销版）,0,,,,[],,,,[],,,,[]
595,11000280,战马/400ML/15/不含气/2025/1元乐享,0,,,,[],,,,[],,,,[]
594,11000304,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,0,,,,[],,,,[],,,,[]
593,11000303,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,0,,,,[],,,,[],,,,[]
592,11000302,战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）,0,,,,[],,,,[],,,,[]
591,11000301,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）,0,,,,[],,,,[],,,,[]
590,11000300,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）,0,,,,[],,,,[],,,,[]
589,11000273,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,0,,,,[],,,,[],,,,[]
588,11000272,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,0,,,,[],,,,[],,,,[]
587,11000270,战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）,0,,,,[],,,,[],,,,[]
586,11000268,战马/310ML/24/罐装/2025/1元乐享（无箱码）,0,,,,[],,,,[],,,,[]
585,11000267,战马/310ML/24/罐装/2025/1元乐享（含箱码）,0,,,,[],,,,[],,,,[]
584,10001155,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期,0,,,,[],,,,[],,,,[]
583,10001153,红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025,0,,,,[],,,,[],,,,[]
582,10001146,红牛维生素功能饮料/普通型/250ML/24/1元乐享-云南贵州/2025,0,0.00740,2029-08-01,2024-01-01,"[{'id': 347, 'goods_id': 582, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2029-08-01', 'status': 2}]",,,,[],,,,[]
581,10001126,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025,0,,,,[],,,,[],,,,[]
580,10001125,红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025,0,,,,[],,,,[],,,,[]
579,10001124,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025,0,,,,[],,,,[],,,,[]
578,10001104,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025,0,,,,[],,,,[],,,,[]
577,10001119,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期,0,,,,[],,,,[],,,,[]
576,10001118,红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期,0,,,,[],,,,[],,,,[]
575,10001117,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,0,,,,[],,,,[],,,,[]
574,10001116,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,0,,,,[],,,,[],,,,[]
573,10001114,红牛维生素功能饮料/普通型/250ML/24/30周年纪念装,0,,,,[],,,,[],,,,[]
566,10001060,红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024,0,0.00740,9999-12-31,2024-04-01,"[{'id': 328, 'goods_id': 566, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
565,10001054,红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024,0,0.00740,9999-12-31,2024-04-01,"[{'id': 323, 'goods_id': 565, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
564,10000000,红牛维生素功能饮料/普通型/250ml/24,0,0.00740,9999-12-31,2024-04-01,"[{'id': 313, 'goods_id': 564, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
563,10000134,红牛维生素功能饮料/普通型/250ml/24,0,0.00740,9999-12-31,2024-04-01,"[{'id': 312, 'goods_id': 563, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
562,10001059,红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024,0,0.00740,9999-12-31,2024-04-01,"[{'id': 307, 'goods_id': 562, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 327, 'goods_id': 562, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
561,10001058,红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024,0,0.00185,9999-12-31,2024-04-01,"[{'id': 306, 'goods_id': 561, 'weight': '0.00185', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 326, 'goods_id': 561, 'weight': '0.00185', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
560,10001057,红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024,0,0.00740,9999-12-31,2024-04-01,"[{'id': 305, 'goods_id': 560, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 325, 'goods_id': 560, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
556,11000234,战马/400ML/15/不含气/2024/1元乐享LPL版,0,0.00730,9999-12-31,2024-01-01,"[{'id': 304, 'goods_id': 556, 'weight': '0.00730', 'from_date': '2024-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
548,10001056,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024,0,0.00740,9999-12-31,2024-04-01,"[{'id': 303, 'goods_id': 548, 'weight': '0.00740', 'from_date': '2024-03-05', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 324, 'goods_id': 548, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
546,11000231,战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球,0,0.00840,9999-12-31,2024-01-01,"[{'id': 282, 'goods_id': 546, 'weight': '0.00840', 'from_date': '2024-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
